證券名稱,簡稱,日期,外資總投資股數,個股買賣超股數,外資總投資比率%-TSE,流通在外股數-TEJ
2330   ,台積電       ,20100104, 19159811,    21522,  73.98, 25902706
2330   ,台積電       ,20100105, 19152555,    -7256,  73.95, 25902706
2330   ,台積電       ,20100106, 19153765,     1141,  73.96, 25902706
2330   ,台積電       ,20100107, 19155624,     1859,  73.97, 25902706
2330   ,台積電       ,20100108, 19148915,    -6709,  73.94, 25902706
2330   ,台積電       ,20100111, 19155805,     6890,  73.97, 25902706
2330   ,台積電       ,20100112, 19127490,   -28315,  73.86, 25902706
2330   ,台積電       ,20100113, 19110985,   -16505,  73.79, 25902706
2330   ,台積電       ,20100114, 19109378,    -1599,  73.79, 25902706
2330   ,台積電       ,20100115, 19099165,   -10214,  73.75, 25902706
2330   ,台積電       ,20100118, 19093983,    -5182,  73.73, 25902706
2330   ,台積電       ,20100119, 19066370,   -27614,  73.62, 25902706
2330   ,台積電       ,20100120, 19069937,     3568,  73.63, 25902706
2330   ,台積電       ,20100121, 19065300,    -4638,  73.62, 25902706
2330   ,台積電       ,20100122, 19028511,   -36789,  73.47, 25902706
2330   ,台積電       ,20100125, 18999057,   -29354,  73.36, 25902706
2330   ,台積電       ,20100126, 18979792,   -19264,  73.29, 25902706
2330   ,台積電       ,20100127, 18958890,   -20902,  73.21, 25902706
2330   ,台積電       ,20100128, 18958592,    -6114,  73.20, 25902706
2330   ,台積電       ,20100129, 18947970,   -10622,  73.16, 25902706
2330   ,台積電       ,20100201, 18904605,   -42672,  73.00, 25902706
2330   ,台積電       ,20100202, 18881301,   -22620,  72.91, 25902706
2330   ,台積電       ,20100203, 18865228,   -16040,  72.84, 25902706
2330   ,台積電       ,20100204, 18844199,   -21029,  72.76, 25902706
2330   ,台積電       ,20100205, 18816894,   -27304,  72.66, 25902706
2330   ,台積電       ,20100206, 18815882,    -1012,  72.65, 25902706
2330   ,台積電       ,20100208, 18790739,   -25143,  72.56, 25902706
2330   ,台積電       ,20100209, 18794670,     3931,  72.57, 25902706
2330   ,台積電       ,20100210, 18774002,   -20667,  72.49, 25903538
2330   ,台積電       ,20100222, 18776028,     2210,  72.50, 25903538
2330   ,台積電       ,20100223, 18788321,    12292,  72.55, 25903538
2330   ,台積電       ,20100224, 18770574,   -17404,  72.48, 25903538
2330   ,台積電       ,20100225, 18759427,   -10251,  72.44, 25903538
2330   ,台積電       ,20100226, 18760818,     1391,  72.44, 25903538
2330   ,台積電       ,20100301, 18761695,       79,  72.44, 25903538
2330   ,台積電       ,20100302, 18776150,    14454,  72.50, 25903538
